	doc_id	doc_key	doc_title	doc_country	doc_province	doc_points	doc_price	doc_content	doc_original	doc_variety	doc_taster	doc_place	token_count	doc_sentiment_polarity	doc_sentiment_subjectivity	doc_price_log	doc_points_cat	bbi
1	1	1	 Quinta dos Avidagos 2011 Avidagos Red (Douro) Avidagos (Portuguese Red) by Roger Voss	Portugal	Douro	87	15	This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's already drinkable, although it will certainly be better from 2016.	This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's already drinkable, although it will certainly be better from 2016.	Portuguese Red	Roger Voss	Portugal Douro  	19	0.2	0.46	2.708050201	87	5.8
2	2	2	 Rainstorm 2013 Pinot Gris (Willamette Valley)  (Pinot Gris) by Paul Gregutt	US	Oregon	87	14	Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.	Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.	Pinot Gris	Paul Gregutt	US Oregon Willamette Valley Willamette Valley	16	0	0.36	2.6390573296152584	87	6.214285714285714
4	4	4	 Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley) Vintner's Reserve Wild Child Block (Pinot Noir) by Paul Gregutt	US	Oregon	87	65	Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.	Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.	Pinot Noir	Paul Gregutt	US Oregon Willamette Valley Willamette Valley	22	0.3	0.45	4.174387269895637	87	1.3384615384615384
9	9	9	 Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace) Les Natures (Pinot Gris) by Roger Voss	France	Alsace	87	27	This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.	This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.	Pinot Gris	Roger Voss	France Alsace Alsace 	14	0.3	0.57	3.295836866004329	87	3.2222222222222223
10	10	10	 Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley) Mountain Cuvée (Cabernet Sauvignon) by Virginie Boone	US	California	87	19	Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.	Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.	Cabernet Sauvignon	Virginie Boone	US California Napa Valley Napa	22	0.4	0.62	2.9444389791664403	87	4.578947368421052
12	12	12	 Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)  (Cabernet Sauvignon) by Virginie Boone	US	California	87	34	Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.	Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.	Cabernet Sauvignon	Virginie Boone	US California Alexander Valley Sonoma	19	0	0.36	3.5263605246161616	87	2.5588235294117645
14	14	14	 Mirassou 2012 Chardonnay (Central Coast)  (Chardonnay) by Matt Kettmann	US	California	87	12	Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.	Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.	Chardonnay	Matt Kettmann	US California Central Coast Central Coast	31	0.1	0.35	2.4849066497880004	87	7.25
15	15	15	 Richard Böcking 2013 Devon Riesling (Mosel) Devon (Riesling) by Anna Lee C. Iijima	Germany	Mosel	87	24	Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.	Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.	Riesling	Anna Lee C. Iijima	Germany Mosel  	18	0.2	0.71	3.1780538303479458	87	3.625
16	16	16	 Felix Lavaque 2010 Felix Malbec (Cafayate) Felix (Malbec) by Michael Schachner	Argentina	Other	87	30	Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.	Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.	Malbec	Michael Schachner	Argentina Other Cafayate 	29	-0.1	0.57	3.4011973816621555	87	2.9
17	17	17	 Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza) Winemaker Selection (Malbec) by Michael Schachner	Argentina	Mendoza Province	87	13	Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.	Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.	Malbec	Michael Schachner	Argentina Mendoza Province Mendoza 	24	0.2	0.55	2.5649493574615367	87	6.6923076923076925
21	21	21	 Acrobat 2013 Pinot Noir (Oregon)  (Pinot Noir) by Paul Gregutt	US	Oregon	87	20	A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.	A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.	Pinot Noir	Paul Gregutt	US Oregon Oregon Oregon Other	24	0.6	0.65	2.995732273553991	87	4.35
22	22	22	 Baglio di Pianetto 2007 Ficiligno White (Sicilia) Ficiligno (White Blend) by Kerin O’Keefe	Italy	Sicily & Sardinia	87	19	Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.	Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.	White Blend	Kerin O’Keefe	Italy Sicily & Sardinia Sicilia 	17	0.1	0.34	2.9444389791664403	87	4.578947368421052
